imagem,aluno,x1,y1,x2,y2,confianca_yolo,proporcao,boca,indice,status,modo_coletivo,media_atencao_imagem
testeFOCA3.jpg,15,1379,65,1431,124,0.7716,0.88,0.0,0.73,FOCADO,False,0.63
testeFOCA3.jpg,16,1277,533,1374,628,0.7359,1.02,0.0,0.41,DISTRAIDO,False,0.63
testeFOCA3.jpg,17,1572,85,1600,135,0.7301,0.56,0.0,0.08,DISTRAIDO,False,0.63
testeFOCA3.jpg,18,0,93,12,179,0.498,0.14,0.0,0.0,DISTRAIDO,False,0.63
testeFOCA3.jpg,19,1555,649,1600,791,0.3402,0.32,0.0,0.0,DISTRAIDO,False,0.63
testeFOCA3.jpg,20,1561,525,1599,605,0.3206,0.47,0.0,0.0,DISTRAIDO,False,0.63
testeFOCA4.jpg,1,1397,280,1530,447,0.8591,0.8,0.0,0.9,FOCADO,False,0.67
testeFOCA4.jpg,2,0,401,91,531,0.8403,0.7,0.0,0.9,FOCADO,False,0.67
testeFOCA4.jpg,3,106,236,181,313,0.811,0.97,0.0,0.53,PARCIAL,False,0.67
testeFOCA4.jpg,4,1380,168,1454,241,0.791,1.01,0.0,0.43,DISTRAIDO,False,0.67
testeFOCA4.jpg,5,1070,192,1159,293,0.7818,0.88,0.0,0.73,FOCADO,False,0.67
testeFOCA4.jpg,6,889,284,1012,421,0.7802,0.9,0.0,0.69,PARCIAL,False,0.67
testeFOCA4.jpg,7,618,274,704,379,0.7311,0.82,0.0,0.86,FOCADO,False,0.67
testeFOCA4.jpg,8,455,252,530,309,0.7135,1.32,0.0,0.0,DISTRAIDO,False,0.67
testeFOCA4.jpg,9,828,184,890,266,0.667,0.76,0.0,0.98,FOCADO,False,0.67
testeFOCA5.webp,1,99,46,156,114,0.8573,0.84,0.0,0.82,FOCADO,False,0.78
testeFOCA5.webp,2,323,65,371,122,0.8384,0.84,0.0,0.82,FOCADO,False,0.78
testeFOCA5.webp,3,261,85,285,114,0.8271,0.83,0.0,0.84,FOCADO,False,0.78
testeFOCA5.webp,4,172,87,200,116,0.7953,0.97,0.0,0.53,PARCIAL,False,0.78
testeFOCA5.webp,5,223,79,243,104,0.7741,0.8,0.0,0.9,FOCADO,False,0.78
testeRostoLula.jpg,1,203,238,719,925,0.8693,0.75,0.0,1.0,FOCADO,False,1.0
testeRostoVirado.jpg,1,284,42,427,245,0.8845,0.7,0.0,0.9,FOCADO,False,0.9
testeTurma.jpg,1,221,126,308,213,0.8351,1.0,0.0,0.46,PARCIAL,False,0.63
testeTurma.jpg,2,28,24,46,45,0.8178,0.86,0.0,0.78,FOCADO,False,0.63
testeTurma.jpg,3,544,48,587,90,0.7996,1.02,0.0,0.41,DISTRAIDO,False,0.63
testeTurma.jpg,4,480,27,502,54,0.7958,0.81,0.0,0.88,FOCADO,False,0.63
testeTurma.jpg,5,223,40,240,59,0.7949,0.89,0.0,0.71,FOCADO,False,0.63
testeTurma.jpg,6,458,109,526,174,0.7935,1.05,0.0,0.34,DISTRAIDO,False,0.63
testeTurma.jpg,7,416,52,440,80,0.7865,0.86,0.0,0.78,FOCADO,False,0.63
testeTurma.jpg,8,157,28,176,49,0.7854,0.9,0.0,0.69,PARCIAL,False,0.63
testeTurma.jpg,9,109,32,125,51,0.7803,0.84,0.0,0.82,FOCADO,False,0.63
testeTurma.jpg,10,279,25,299,56,0.7776,0.65,0.0,0.8,FOCADO,False,0.63
testeTurma.jpg,11,606,53,644,85,0.6934,1.19,0.0,0.02,DISTRAIDO,False,0.63
testeTurma.jpg,12,74,101,98,129,0.3486,0.86,0.0,0.78,FOCADO,False,0.63
testeTurma.jpg,13,218,24,232,40,0.3402,0.88,0.0,0.73,FOCADO,False,0.63
